County,FIPS,Metobjective45p,Age-AdjustedDeathRate,Lower95%forDeathRate,Upper95%forDeathRate,AvgDeathsperYear,RecentTrend2,Recent5YearTrend2inDeathRates,Lower95%forTrend,Upper95%forTrend
United States,0,No,46.00,45.90,46.10,157376,falling,-2.40,-2.60,-2.20
"Perry County, Kentucky",21193,No,125.60,108.90,144.20,43,stable,-0.60,-2.70,1.60
"Powell County, Kentucky",21197,No,125.30,100.20,155.10,18,stable,1.70,0.00,3.40
"North Slope Borough, Alaska",2185,No,124.90,73.00,194.70,5,**,**,**,**
"Owsley County, Kentucky",21189,No,118.50,83.10,165.50,8,stable,2.20,-0.40,4.80
"Union County, Florida",12125,No,113.50,89.90,141.40,19,falling,-2.20,-4.30,0.00
"McCreary County, Kentucky",21147,No,111.10,90.60,134.90,22,rising,22.90,6.90,41.40
"Leslie County, Kentucky",21131,No,110.30,87.00,138.50,16,stable,0.80,-0.70,2.40
"Martin County, Kentucky",21159,No,109.10,84.80,138.30,14,stable,1.30,-0.80,3.40
"Menifee County, Kentucky",21165,No,106.00,76.40,144.40,9,stable,1.40,-1.40,4.30
"Jackson County, Kentucky",21109,No,104.60,83.00,130.40,17,stable,0.80,-1.40,3.00
"Poinsett County, Arkansas",5111,No,103.50,88.00,121.00,33,stable,-0.20,-1.40,1.00
"Polk County, Tennessee",47139,No,103.30,85.50,124.10,25,stable,0.50,-1.20,2.10
"Floyd County, Kentucky",21071,No,98.70,86.10,112.60,47,stable,0.60,-0.40,1.60
"Casey County, Kentucky",21045,No,98.50,80.30,119.90,21,stable,0.60,-0.70,2.00
"Madison County, Missouri",29123,No,98.50,78.70,122.30,17,stable,-0.30,-1.90,1.30
"Mississippi County, Missouri",29133,No,97.20,77.60,120.60,17,stable,0.30,-1.40,1.90
"Clay County, Kentucky",21051,No,96.50,78.90,116.90,22,stable,1.20,-0.40,2.80
"Nome Census Area, Alaska",2180,No,96.10,61.40,141.60,6,**,**,**,**
"Letcher County, Kentucky",21133,No,96.10,80.70,113.70,29,stable,-0.40,-1.70,1.00
"Whitley County, Kentucky",21235,No,95.60,82.50,110.30,39,stable,-0.20,-1.60,1.30
"Harlan County, Kentucky",21095,No,95.30,81.30,111.20,34,stable,0.60,-0.60,1.90
"Logan County, West Virginia",54045,No,95.10,82.80,108.90,45,falling,-1.10,-2.20,0.00
"Scott County, Tennessee",47151,No,94.90,78.40,113.80,24,stable,-0.10,-1.30,1.20
"Ohio County, Kentucky",21183,No,94.60,79.50,112.00,28,stable,0.30,-1.00,1.60
"Bracken County, Kentucky",21023,No,92.70,67.40,124.90,9,stable,0.10,-1.70,1.90
"Johnson County, Kentucky",21115,No,92.50,77.10,110.30,27,stable,0.20,-0.90,1.30
"Carter County, Missouri",29035,No,92.30,64.70,128.70,8,stable,1.20,-1.20,3.70
"Trimble County, Kentucky",21223,No,91.90,66.40,124.00,9,stable,0.90,-1.20,3.10
"Phillips County, Arkansas",5107,No,90.80,74.90,109.30,23,stable,0.20,-0.90,1.30
"Lee County, Kentucky",21129,No,90.80,65.20,124.00,9,stable,-0.50,-2.70,1.90
"Pemiscot County, Missouri",29155,No,90.50,73.10,110.80,19,stable,0.10,-1.40,1.80
"Hart County, Kentucky",21099,No,90.20,73.50,109.90,21,stable,0.30,-1.20,1.80
"Nicholas County, Kentucky",21181,No,89.60,64.00,122.80,8,stable,-0.10,-2.10,1.90
"Henry County, Kentucky",21103,No,89.30,70.80,111.40,17,stable,1.50,-0.40,3.40
"Rockcastle County, Kentucky",21203,No,89.20,71.80,109.70,19,stable,0.50,-0.90,2.00
"Upton County, Texas",48461,No,89.10,51.90,144.10,3,**,**,**,**
"Benton County, Tennessee",47005,No,89.00,72.80,108.30,22,stable,0.90,-0.70,2.50
"Fulton County, Kentucky",21075,No,88.90,64.20,121.30,9,stable,0.50,-1.10,2.00
"Lake County, Tennessee",47095,No,88.90,63.20,122.20,8,stable,0.40,-1.80,2.60
"Caldwell County, Kentucky",21033,No,88.00,69.60,110.20,16,stable,0.60,-1.00,2.20
"Grayson County, Kentucky",21085,No,87.90,73.90,104.10,28,rising,6.80,0.10,13.90
"Wayne County, Missouri",29223,No,87.90,71.00,108.30,19,stable,0.30,-1.10,1.70
"Madison County, Mississippi",28089,No,87.40,78.70,96.70,78,falling,-8.60,-11.90,-5.10
"Quitman County, Georgia",13239,No,87.20,50.30,146.90,4,**,**,**,**
"Meade County, Kentucky",21163,No,87.00,71.70,104.70,24,stable,-0.20,-1.90,1.50
"Campbell County, Tennessee",47013,No,86.80,76.00,98.80,49,stable,0.10,-0.80,1.00
"Mason County, Kentucky",21161,No,86.60,69.60,106.70,19,stable,0.50,-1.00,2.00
"Sequatchie County, Tennessee",47153,No,86.60,68.30,108.60,16,rising,2.20,0.60,3.80
"McDowell County, West Virginia",54047,No,86.60,72.00,103.50,26,stable,0.40,-0.80,1.60
"Knott County, Kentucky",21119,No,85.90,67.90,107.40,17,stable,-0.30,-1.90,1.20
"Knox County, Kentucky",21121,No,85.90,73.10,100.30,33,stable,0.10,-1.30,1.50
"Lee County, Virginia",51105,No,85.90,72.10,101.70,28,stable,0.20,-1.10,1.40
"Pike County, Kentucky",21195,No,85.40,76.40,95.40,67,stable,-0.30,-1.10,0.50
"Lawrence County, Kentucky",21127,No,85.10,67.10,106.70,16,stable,-0.10,-1.70,1.50
"Overton County, Tennessee",47133,No,84.80,70.60,101.30,26,stable,0.10,-1.10,1.40
"Lee County, Mississippi",28081,No,84.50,76.20,93.50,77,rising,2.20,0.90,3.40
"New Madrid County, Missouri",29143,No,84.50,68.90,102.90,21,stable,0.80,-0.70,2.30
"Monroe County, Kentucky",21171,No,84.30,64.40,109.10,12,stable,0.30,-1.60,2.30
"Buena Vista City, Virginia",51530,No,84.30,57.00,120.40,6,stable,0.50,-2.00,3.00
"Claiborne County, Tennessee",47025,No,84.20,72.10,97.90,36,stable,0.30,-1.10,1.60
"Liberty County, Florida",12077,No,84.10,57.40,118.80,7,stable,0.10,-2.40,2.70
"Russell County, Kentucky",21207,No,84.10,68.50,102.60,21,stable,1.00,-0.90,3.00
"Lewis County, Kentucky",21135,No,84.10,65.30,106.80,14,stable,0.60,-1.60,2.80
"Cocke County, Tennessee",47029,No,84.10,72.80,96.80,42,stable,0.50,-0.50,1.40
"Metcalfe County, Kentucky",21169,No,84.00,63.40,109.70,11,stable,0.50,-1.70,2.90
"Gallatin County, Kentucky",21077,No,83.80,58.80,116.20,8,stable,-0.60,-3.00,1.90
"Arenac County, Michigan",26011,No,83.80,68.10,102.70,21,stable,0.50,-1.10,2.20
"Henry County, Missouri",29083,No,83.60,70.00,99.40,28,stable,0.90,-0.30,2.20
"Jackson County, Arkansas",5067,No,83.50,67.40,102.60,19,rising,1.80,0.50,3.10
